descripcion_modelo,descripcion_original,categoria,subcategoria,split,grupo_descripcion,texto_normalizado,es_aumentada
pago del celular mensual,pago del celular,Servicios,Teléfono,train,ebe220a26430,pago del celular mensual,True
plan de teléfono,plan de teléfono,Servicios,Teléfono,train,5aab0415e0ff,plan de telefono,False
cargo plan de teléfono,plan de teléfono,Servicios,Teléfono,train,5aab0415e0ff,cargo plan de telefono,True
plan de teléfono mensual,plan de teléfono,Servicios,Teléfono,train,5aab0415e0ff,plan de telefono mensual,True
recarga telefónica,recarga telefónica,Servicios,Teléfono,train,5f4da703055d,recarga telefonica,False
cargo recarga telefónica,recarga telefónica,Servicios,Teléfono,train,5f4da703055d,cargo recarga telefonica,True
recarga telefónica mensual,recarga telefónica,Servicios,Teléfono,train,5f4da703055d,recarga telefonica mensual,True
mensualidad telcel,mensualidad telcel,Servicios,Teléfono,validation,8020c7bb3e26,mensualidad telcel,False
pago recibo del agua,pago recibo del agua,Servicios,Agua,train,face75ed5c2d,pago recibo del agua,False
pg recibo del agua,pago recibo del agua,Servicios,Agua,train,face75ed5c2d,pg recibo del agua,True
cargo pago recibo del agua,pago recibo del agua,Servicios,Agua,train,face75ed5c2d,cargo pago recibo del agua,True
pago recibo del agua mensual,pago recibo del agua,Servicios,Agua,train,face75ed5c2d,pago recibo del agua mensual,True
servicio de agua potable,servicio de agua potable,Servicios,Agua,train,f1ff77db6459,servicio de agua potable,False
serv de agua potable,servicio de agua potable,Servicios,Agua,train,f1ff77db6459,serv de agua potable,True
cargo servicio de agua potable,servicio de agua potable,Servicios,Agua,train,f1ff77db6459,cargo servicio de agua potable,True
servicio de agua potable mensual,servicio de agua potable,Servicios,Agua,train,f1ff77db6459,servicio de agua potable mensual,True
pago de gas doméstico,pago de gas doméstico,Servicios,Gas,validation,0949e9514d77,pago de gas domestico,False
recarga de tanque de gas,recarga de tanque de gas,Servicios,Gas,train,3977c2755eb5,recarga de tanque de gas,False
cargo recarga de tanque de gas,recarga de tanque de gas,Servicios,Gas,train,3977c2755eb5,cargo recarga de tanque de gas,True
recarga de tanque de gas mensual,recarga de tanque de gas,Servicios,Gas,train,3977c2755eb5,recarga de tanque de gas mensual,True
pago de televisión por cable,pago de televisión por cable,Servicios,TV de paga,test,0fd90cb435ec,pago de television por cable,False
mensualidad tv de paga,mensualidad tv de paga,Servicios,TV de paga,test,bc0439c47100,mensualidad tv de paga,False
uber al trabajo,uber al trabajo,Transporte,Uber,train,1eabf3efd89c,uber al trabajo,False
cargo uber al trabajo,uber al trabajo,Transporte,Uber,train,1eabf3efd89c,cargo uber al trabajo,True
uber al trabajo mensual,uber al trabajo,Transporte,Uber,train,1eabf3efd89c,uber al trabajo mensual,True
uber al aeropuerto,uber al aeropuerto,Transporte,Uber,test,66ff6bf3a6f1,uber al aeropuerto,False
viaje en taxi,viaje en taxi,Transporte,Taxi,validation,e72a97519522,viaje en taxi,False
taxi a casa,taxi a casa,Transporte,Taxi,train,5bc14ed00490,taxi a casa,False
cargo taxi a casa,taxi a casa,Transporte,Taxi,train,5bc14ed00490,cargo taxi a casa,True
taxi a casa mensual,taxi a casa,Transporte,Taxi,train,5bc14ed00490,taxi a casa mensual,True
carga de gasolina,carga de gasolina,Transporte,Combustible,train,278619c16017,carga de gasolina,False
cargo carga de gasolina,carga de gasolina,Transporte,Combustible,train,278619c16017,cargo carga de gasolina,True
carga de gasolina mensual,carga de gasolina,Transporte,Combustible,train,278619c16017,carga de gasolina mensual,True
gasolina pemex,gasolina pemex,Transporte,Combustible,train,bdae471a0883,gasolina pemex,False
cargo gasolina pemex,gasolina pemex,Transporte,Combustible,train,bdae471a0883,cargo gasolina pemex,True
gasolina pemex mensual,gasolina pemex,Transporte,Combustible,train,bdae471a0883,gasolina pemex mensual,True
llenado de tanque,llenado de tanque,Transporte,Combustible,train,e9673b4ba6b9,llenado de tanque,False
cargo llenado de tanque,llenado de tanque,Transporte,Combustible,train,e9673b4ba6b9,cargo llenado de tanque,True
llenado de tanque mensual,llenado de tanque,Transporte,Combustible,train,e9673b4ba6b9,llenado de tanque mensual,True
combustible para auto,combustible para auto,Transporte,Combustible,train,eab1501e8268,combustible para auto,False
cargo combustible para auto,combustible para auto,Transporte,Combustible,train,eab1501e8268,cargo combustible para auto,True
combustible para auto mensual,combustible para auto,Transporte,Combustible,train,eab1501e8268,combustible para auto mensual,True
pasaje de autobús,pasaje de autobús,Transporte,Autobús,train,2553ff0f7b94,pasaje de autobus,False
cargo pasaje de autobús,pasaje de autobús,Transporte,Autobús,train,2553ff0f7b94,cargo pasaje de autobus,True
pasaje de autobús mensual,pasaje de autobús,Transporte,Autobús,train,2553ff0f7b94,pasaje de autobus mensual,True
camión urbano,camión urbano,Transporte,Autobús,train,48f6ffb23a66,camion urbano,False
cargo camión urbano,camión urbano,Transporte,Autobús,train,48f6ffb23a66,cargo camion urbano,True
camión urbano mensual,camión urbano,Transporte,Autobús,train,48f6ffb23a66,camion urbano mensual,True
boleto de autobús,boleto de autobús,Transporte,Autobús,train,4a330ed83110,boleto de autobus,False
cargo boleto de autobús,boleto de autobús,Transporte,Autobús,train,4a330ed83110,cargo boleto de autobus,True
boleto de autobús mensual,boleto de autobús,Transporte,Autobús,train,4a330ed83110,boleto de autobus mensual,True
boleto de metro,boleto de metro,Transporte,Tren,train,a1424dd6641e,boleto de metro,False
cargo boleto de metro,boleto de metro,Transporte,Tren,train,a1424dd6641e,cargo boleto de metro,True
boleto de metro mensual,boleto de metro,Transporte,Tren,train,a1424dd6641e,boleto de metro mensual,True
pasaje de tren,pasaje de tren,Transporte,Tren,test,f11e7dcc91e8,pasaje de tren,False
vuelo nacional,vuelo nacional,Transporte,Avión,train,7912925fe1b6,vuelo nacional,False
cargo vuelo nacional,vuelo nacional,Transporte,Avión,train,7912925fe1b6,cargo vuelo nacional,True
vuelo nacional mensual,vuelo nacional,Transporte,Avión,train,7912925fe1b6,vuelo nacional mensual,True
servicio del automóvil,servicio del automóvil,Transporte,Servicio vehicular,train,22218e0df5e9,servicio del automovil,False
serv del automóvil,servicio del automóvil,Transporte,Servicio vehicular,train,22218e0df5e9,serv del automovil,True
cargo servicio del automóvil,servicio del automóvil,Transporte,Servicio vehicular,train,22218e0df5e9,cargo servicio del automovil,True
servicio del automóvil mensual,servicio del automóvil,Transporte,Servicio vehicular,train,22218e0df5e9,servicio del automovil mensual,True
taller mecánico,taller mecánico,Transporte,Servicio vehicular,train,1bf90df6750f,taller mecanico,False
cargo taller mecánico,taller mecánico,Transporte,Servicio vehicular,train,1bf90df6750f,cargo taller mecanico,True
taller mecánico mensual,taller mecánico,Transporte,Servicio vehicular,train,1bf90df6750f,taller mecanico mensual,True
verificación del auto,verificación del auto,Transporte,Verificación vehicular,train,01f8f13da782,verificacion del auto,False
cargo verificación del auto,verificación del auto,Transporte,Verificación vehicular,train,01f8f13da782,cargo verificacion del auto,True
verificación del auto mensual,verificación del auto,Transporte,Verificación vehicular,train,01f8f13da782,verificacion del auto mensual,True
pago de tenencia,pago de tenencia,Transporte,Tenencia vehicular,train,b33ebe9daca0,pago de tenencia,False
pg de tenencia,pago de tenencia,Transporte,Tenencia vehicular,train,b33ebe9daca0,pg de tenencia,True
cargo pago de tenencia,pago de tenencia,Transporte,Tenencia vehicular,train,b33ebe9daca0,cargo pago de tenencia,True
pago de tenencia mensual,pago de tenencia,Transporte,Tenencia vehicular,train,b33ebe9daca0,pago de tenencia mensual,True
compra de despensa,compra de despensa,Alimentación,Supermercado,validation,913e80de18bb,compra de despensa,False
supermercado semanal,supermercado semanal,Alimentación,Supermercado,validation,94f0fbd26393,supermercado semanal,False
pedido de comida rápida,pedido de comida rápida,Alimentación,Comida rápida,validation,96f6a7bc6fbf,pedido de comida rapida,False
compra de ropa,compra de ropa,Compras,Ropa,train,127b9d6046f7,compra de ropa,False
comp de ropa,compra de ropa,Compras,Ropa,train,127b9d6046f7,comp de ropa,True
cargo compra de ropa,compra de ropa,Compras,Ropa,train,127b9d6046f7,cargo compra de ropa,True
compra de ropa mensual,compra de ropa,Compras,Ropa,train,127b9d6046f7,compra de ropa mensual,True
pago de estacionamiento,pago de estacionamiento,Otros,Estacionamiento,test,1d7f035d3d8e,pago de estacionamiento,False
donativo,donativo,Otros,Donaciones,test,49c487ae6ca8,donativo,False
gasto varios,gasto varios,Otros,Otros,validation,09a7a4616b4d,gasto varios,False
